"CHEM_COMP_ID","DESCRIPTOR"
"3W1","XUAZPTUZVDPOEK-UHFFFAOYSA-N"
"HCG","XFOOPZIJVVDYHI-BQBZGAKWSA-N"
"WEM","JWMPEBHROPXGMV-UHFFFAOYSA-N"
"6AU","DGRKHSCAMDBXTC-PEBGCTIMSA-N"
"LVB","OYCADSVKEVKERJ-UHFFFAOYSA-N"
"JED","ZSKVLMBZFPQPHV-UHFFFAOYSA-N"
"21P","JJYIDLOYXKNNAS-UHFFFAOYSA-N"
"QQ1","FACMGTJQTMTYEF-UHFFFAOYSA-N"
"A3I","FVMMLTQICWHKRS-MPWKYZDUSA-N"
"2GA","PNARKDACJAPELK-UHFFFAOYSA-N"
"57J","PQQBCUZITMWICX-UHFFFAOYSA-N"
"5B4","YLLMKENFMVEIDG-UHFFFAOYSA-N"
"4VR","XWQCDOISHBZRCV-UHFFFAOYSA-N"
"NU6","XAOVCENYRWWHPR-UHFFFAOYSA-N"
"0MK","SRBFZHDQGSBBOR-FCAWWPLPSA-N"
"MON","AIBKIFHSQQYXLG-UHFFFAOYSA-N"
"T2K","MNBKLGOJIXFSTI-UHFFFAOYSA-N"
"66L","GGMOWJSRHCAARI-UHFFFAOYSA-N"
"DLN","HFGDXJQGICLTIE-UHFFFAOYSA-N"
"4B8","ZFNJTKVOZGKOOB-UHFFFAOYSA-N"
"NUH","WBOQDJCUHPQCRG-UHFFFAOYSA-N"
"3LH","FGMGIQHLZVOAHB-UHFFFAOYSA-N"
"4MV","FGKJLKRYENPLQH-UHFFFAOYSA-N"
"7U7","CQKNIDGIDMCYLZ-UHFFFAOYSA-N"
"2WN","RSJRYZBNJGGTGQ-UHFFFAOYSA-N"
"IRH","IZQSVPBOUDKVDZ-UHFFFAOYSA-N"
"FXD","TYMXZAAQZPJROA-UHFFFAOYSA-N"
"GZ5","MSZVAOQNSCIOAB-RUZDIDTESA-N"
"SYY","CXOCENPNQSXLGZ-UHFFFAOYSA-N"
"BOL","LJOZMWRYMKECFF-UHFFFAOYSA-N"
"VOW","WRQNDLDUNQMTCL-UHFFFAOYSA-N"
"5QS","XJTIGGCBXFIZJV-UHFFFAOYSA-N"
"H99","SGQDLYHYSRLRJV-UHFFFAOYSA-N"
"D9P","GEJQOLRONNVYHQ-KSFYIVLOSA-N"
"K48","GRKPPKGSYOWFQV-UHFFFAOYSA-N"
